Frame #,Point 1 X,Point 1 Y,Point 2 X,Point 2 Y
243,312.401704788208,479.9675917625427,307.8936767578125,472.3596668243408
244,322.8746509552002,478.6798417568207,316.85176849365234,470.25717973709106
245,334.48302268981934,476.53602719306946,329.9297046661377,468.0523717403412
246,351.8338680267334,473.989462852478,340.05266189575195,464.4729423522949
247,360.0376224517822,472.0698916912079,346.39843940734863,462.38819003105164
248,369.8075866699219,470.70653557777405,354.28250312805176,459.0572726726532
249,374.6584224700928,471.71175241470337,360.880651473999,461.149685382843
250,390.681095123291,472.29069113731384,370.01895904541016,461.65459513664246
251,399.9034023284912,473.2528746128082,378.51983070373535,462.9499411582947
252,405.0245475769043,473.42851638793945,387.92859077453613,466.91203594207764
253,413.9061641693115,474.8481345176697,396.9868755340576,470.000878572464
254,424.34131622314453,474.8710834980011,410.5042362213135,473.0256700515747
255,440.83542823791504,474.8702144622803,423.8632392883301,472.4441885948181
256,455.08472442626953,474.3354034423828,438.9089870452881,473.2054316997528
257,468.4848976135254,471.62771344184875,453.6874580383301,472.8205454349518
258,482.91297912597656,471.5353059768677,465.9180164337158,470.45586705207825
259,495.9124946594238,471.44267320632935,480.8272361755371,467.484827041626
260,506.7220115661621,469.43867683410645,494.0156936645508,461.612366437912
261,519.0787124633789,469.8008716106415,509.26883697509766,462.5914800167084
262,527.5658226013184,469.4113826751709,517.734432220459,461.47377133369446
263,543.4383201599121,469.572411775589,532.8678131103516,462.039932012558
264,553.3687591552734,471.74229741096497,547.4435234069824,465.6139862537384
265,560.8073616027832,471.73901438713074,565.1387214660645,467.1604835987091
266,572.212028503418,470.9686303138733,577.8755378723145,466.8466651439667
267,586.8387794494629,471.00001215934753,588.6588478088379,466.777206659317
268,603.8545417785645,469.973680973053,604.4983863830566,465.9095227718353
269,617.8760147094727,468.9577782154083,622.8762245178223,465.7865059375763
270,635.6206512451172,467.67900824546814,638.3955574035645,463.5614204406738
271,655.3146171569824,467.7580261230469,651.4644813537598,461.85283184051514
272,675.483341217041,467.8329563140869,667.6403045654297,462.0990586280823
273,691.7896270751953,466.13749980926514,676.1323356628418,459.94948267936707
274,701.5462875366211,466.3118863105774,691.2920379638672,460.09129643440247
275,711.4215660095215,466.3521194458008,706.9610023498535,461.279718875885
276,724.6275901794434,466.5682518482208,726.5848731994629,467.9423260688782
277,742.9641723632812,467.54627108573914,740.1496696472168,472.1817398071289
278,758.741512298584,469.7757017612457,752.3309898376465,474.3437397480011
279,774.8537635803223,474.1091322898865,767.3323631286621,477.6376748085022
280,793.3965110778809,476.99793577194214,785.225830078125,479.13782358169556
281,812.9611587524414,476.4843678474426,802.5797653198242,478.92056465148926
282,823.1546974182129,475.7626497745514,823.4232902526855,478.9197278022766
283,844.0763282775879,474.83545303344727,841.5501022338867,477.695095539093
284,863.1925392150879,474.6329998970032,856.2141609191895,475.8302414417267
285,873.1084442138672,470.04796743392944,881.7757415771484,473.3392310142517
286,892.5235748291016,469.9759340286255,897.5901031494141,469.7134852409363
287,909.2427635192871,468.14587354660034,917.0918083190918,468.55409502983093
288,928.011474609375,470.5483067035675,932.735538482666,470.6411325931549
289,941.5727806091309,473.22213649749756,948.1212043762207,474.15226221084595
290,952.4422645568848,476.18287682533264,961.922492980957,475.3824305534363
291,970.1654434204102,477.82216787338257,981.4680862426758,475.41893005371094
292,987.6334762573242,479.9446105957031,996.9758605957031,476.7459797859192
293,1005.9159851074219,481.84860348701477,1012.7618408203125,477.630980014801
294,1027.6714324951172,481.8078875541687,1032.5569152832031,477.72995352745056
295,1045.9177780151367,481.18433833122253,1048.4660339355469,477.50876784324646
296,1066.1488723754883,481.0078275203705,1071.2420654296875,477.3132348060608
297,1082.9128646850586,479.05436396598816,1091.3475036621094,477.1996808052063
298,1104.9695205688477,478.64150762557983,1111.5868377685547,477.05686926841736
299,1123.0341339111328,478.56873393058777,1126.6572189331055,477.1374320983887
300,1143.6039733886719,479.12092566490173,1144.8054885864258,478.15407514572144
301,1157.083740234375,476.895067691803,1164.0217208862305,478.0209195613861
302,1176.5123748779297,476.9025993347168,1182.4817276000977,478.4243130683899
303,1198.319320678711,477.5345492362976,1200.303955078125,480.257785320282
304,1223.3657455444336,480.22032022476196,1216.7240524291992,480.10090827941895
305,1239.0773391723633,482.7248811721802,1236.467514038086,483.4860599040985
306,1264.548225402832,484.1667401790619,1257.3361587524414,484.47521567344666
307,1287.0417022705078,483.68030548095703,1278.7844467163086,485.3269350528717
308,1306.797866821289,483.2706677913666,1304.513053894043,485.30295610427856
309,1320.403175354004,482.19258069992065,1327.5519561767578,484.832421541214
310,1338.8787460327148,478.96910190582275,1348.1521224975586,483.1787109375
311,1359.6940612792969,479.0204393863678,1368.973045349121,482.3703145980835
312,1377.9448699951172,477.8055274486542,1394.014549255371,479.29927110671997
313,1396.1344528198242,477.8942656517029,1407.9619216918945,478.953298330307
314,1416.7797088623047,477.91444659233093,1429.1938018798828,479.0205681324005
315,1435.426025390625,479.9779236316681,1450.718650817871,482.9851734638214
316,1454.304428100586,483.601770401001,1470.7867813110352,483.06406259536743
317,1473.8251876831055,485.25853872299194,1491.2121963500977,482.8987526893616
318,1493.4273147583008,484.92849826812744,1511.7934799194336,483.4822940826416
319,1512.8985214233398,484.6276831626892,1530.842514038086,485.053768157959
320,1535.5359649658203,484.8738133907318,1552.9680633544922,484.75675106048584
321,1555.7139587402344,485.1363265514374,1575.5986404418945,484.8185169696808
322,1578.204460144043,485.80580592155457,1595.357666015625,484.70425486564636
323,1600.202751159668,485.7643175125122,1620.0525283813477,484.6113967895508
324,1623.3238220214844,485.58854699134827,1640.8789443969727,484.54570412635803
325,1643.4202194213867,484.43150639533997,1660.0036239624023,484.48036551475525
326,1663.4526443481445,484.417279958725,1681.933937072754,484.9544084072113
327,1688.4948348999023,484.25132632255554,1706.173095703125,485.44296741485596
328,1707.799072265625,484.67451453208923,1720.4827880859375,486.506667137146
329,1731.053581237793,485.0523519515991,1741.435546875,486.8840539455414
330,1751.883201599121,486.7393112182617,1764.272689819336,490.8175992965698
331,1776.5156936645508,487.04649925231934,1785.7055282592773,490.46589732170105
332,1803.7668228149414,487.0808744430542,1811.2225341796875,490.5338752269745
333,1829.2683792114258,485.5980098247528,1837.6349258422852,489.3653440475464
334,1851.2591171264648,485.7825028896332,1866.9292831420898,491.23093843460083
335,1880.0066757202148,482.4016320705414,1894.8138427734375,490.9843575954437
